Record_ID,User_ID,App_Name,Feature_Used,Keyword,Content_Category,Type,Usage_Duration_Minutes,Distraction_Score,Location,Date,Time_of_Day
1428,U0117,Zoom,Course Page,Story updates,Social Media,Distractive,9.1,5,Cafe,2025-07-25,Afternoon
1429,U0286,Gmail,Reels/Shorts,Influencer content,Social Media,Distractive,47.6,5,Home,2025-11-07,Morning
1430,U0197,Snapchat,Feed,Skill development,Education,Productive,57.9,1,Home,2025-01-03,Evening
1431,U0112,WhatsApp,Search,Gaming,Entertainment,Distractive,17.8,5,Outdoors,2025-04-04,Late Night
1432,U0417,Flipkart,Search,Influencer content,Social Media,Distractive,80.3,4,Office,2025-09-17,Afternoon
1433,U0056,YouTube,Notification,Live score,Sports,Distractive,80.1,4,College,2025-06-09,Evening
1434,U0481,LinkedIn,Course Page,Story updates,Social Media,Distractive,18.2,4,Office,2025-11-10,Evening
1435,U0188,Gmail,Reels/Shorts,Football clip,Sports,Distractive,60.5,3,College,2025-06-23,Afternoon
1436,U0051,Twitter/X,Explore,Job search,Business,Productive,3.5,2,Home,2025-09-03,Late Night
1437,U0070,Slack,Notification,Colleague message,Communication,Productive,31.8,2,Library,2025-05-25,Evening
1438,U0252,Telegram,Explore,Match highlights,Sports,Distractive,39.7,3,College,2025-09-09,Morning
1439,U0271,TikTok,Watch,Voice message,Communication,Productive,30.4,2,Cafe,2025-12-17,Morning
1440,U0015,Google Classroom,Notification,Research paper,Education,Productive,11.2,1,Commute,2025-01-25,Late Night
1441,U0379,Twitter/X,Story,History lecture,Education,Productive,57.9,2,Home,2025-12-17,Night
1442,U0038,YouTube,DM/Chat,Market analysis,Business,Productive,6.8,2,Office,2025-04-24,Evening
1443,U0474,Instagram,Feed,Technology news,News,Productive,55.4,1,Library,2025-12-19,Morning
1444,U0023,Amazon,Search,Gaming,Entertainment,Distractive,88.9,4,Library,2025-07-10,Night
1445,U0210,Zoom,Explore,Networking,Business,Productive,41.1,1,Cafe,2025-04-15,Evening
1446,U0308,TikTok,Watch,Web development course,Education,Productive,50.7,2,Library,2025-09-07,Evening
1447,U0060,Gmail,Search,SQL tutorial,Education,Productive,40.1,1,Library,2025-02-06,Morning
1448,U0146,Snapchat,Notification,Client proposal,Business,Productive,20.3,1,Cafe,2025-12-15,Night
1449,U0434,LinkedIn,Reels/Shorts,Dance videos,Entertainment,Distractive,36.1,5,Library,2025-02-14,Late Night
1450,U0020,Slack,Feed,Match highlights,Sports,Distractive,42.7,2,College,2025-02-27,Afternoon
1451,U0227,WhatsApp,DM/Chat,Online sale,Commerce,Distractive,39.8,2,Commute,2025-08-13,Afternoon
1452,U0441,Twitter/X,Story,Chemistry notes,Education,Productive,3.6,1,Home,2025-03-20,Evening
1453,U0079,Gmail,DM/Chat,Movie clips,Entertainment,Distractive,81.2,5,Home,2025-07-20,Night
1454,U0036,Snapchat,DM/Chat,Reels,Entertainment,Distractive,30.9,4,Outdoors,2025-01-13,Night
1455,U0351,Google Classroom,Notification,Weather update,News,Productive,10.5,3,Commute,2025-01-30,Morning
1456,U0004,Snapchat,Story,Work discussion,Communication,Productive,22.9,1,Office,2025-02-23,Afternoon
1457,U0038,TikTok,Reels/Shorts,Shopping,Commerce,Distractive,77.3,2,Home,2025-10-16,Late Night
1458,U0314,Google Classroom,Explore,Physics lecture,Education,Productive,27.5,2,Library,2025-12-16,Night
1459,U0147,Udemy,Search,Gossip,Entertainment,Distractive,41.4,5,Commute,2025-04-25,Afternoon
1460,U0022,Snapchat,Story,Project management,Business,Productive,44.7,2,Hostel,2025-06-03,Afternoon
1461,U0216,Coursera,Explore,Cricket update,Sports,Distractive,12.1,4,Commute,2025-04-17,Night
1462,U0069,Gmail,Explore,Fashion trends,Commerce,Distractive,42.3,3,Commute,2025-06-16,Night
1463,U0442,Twitter/X,DM/Chat,Breaking news,News,Productive,56.9,1,Commute,2025-08-26,Late Night
1464,U0154,Twitter/X,Explore,Product review,Commerce,Distractive,13.6,3,College,2025-10-05,Night
1465,U0480,Twitter/X,Story,Shopping,Commerce,Distractive,50.1,2,Office,2025-12-04,Night
1466,U0394,Instagram,DM/Chat,Online sale,Commerce,Distractive,35.4,3,Office,2025-05-20,Late Night
1467,U0391,Twitter/X,Search,Investment tips,Business,Productive,25.3,2,Outdoors,2025-05-06,Afternoon
1468,U0005,Slack,Feed,Sports news,Sports,Distractive,61.2,4,College,2025-02-13,Morning
1469,U0431,Amazon,Story,Science experiment,Education,Productive,13,1,Office,2025-04-20,Evening
1470,U0052,Gmail,Course Page,Voice message,Communication,Productive,21,2,Office,2025-05-29,Evening
1471,U0283,Telegram,Reels/Shorts,Networking,Business,Productive,32.4,1,Hostel,2025-03-23,Late Night
1472,U0387,Coursera,Reels/Shorts,Sports news,Sports,Distractive,60.1,4,Office,2025-08-16,Morning
1473,U0477,Udemy,Explore,Coding practice,Education,Productive,29.1,2,Home,2025-10-28,Evening
1474,U0177,Snapchat,Course Page,Football clip,Sports,Distractive,80.6,4,Outdoors,2025-12-10,Late Night
1475,U0470,WhatsApp,Search,Influencer content,Social Media,Distractive,13,5,Cafe,2025-12-13,Night
1476,U0410,Amazon,Watch,Business news,Business,Productive,43,1,College,2025-07-01,Late Night
1477,U0144,Telegram,Search,Live score,Sports,Distractive,33.5,4,Cafe,2025-04-09,Late Night
1478,U0222,Snapchat,Feed,Physics lecture,Education,Productive,39.3,2,Cafe,2025-05-15,Night
1479,U0006,Gmail,Reels/Shorts,Endless scrolling,Social Media,Distractive,30.6,5,Home,2025-03-08,Late Night
1480,U0357,Twitter/X,Course Page,History lecture,Education,Productive,23.4,2,Home,2025-12-22,Evening
1481,U0369,Slack,Explore,Product review,Commerce,Distractive,37.2,3,Commute,2025-03-09,Evening
1482,U0413,Google Classroom,Watch,Comedy videos,Entertainment,Distractive,8.4,5,Outdoors,2025-12-10,Morning
1483,U0079,Facebook,Reels/Shorts,Influencer content,Social Media,Distractive,22.6,4,Office,2025-07-11,Morning
1484,U0080,WhatsApp,Feed,World news,News,Productive,43.7,1,Commute,2025-11-13,Morning
1485,U0096,LinkedIn,Reels/Shorts,Sports news,Sports,Distractive,6,4,Office,2025-04-13,Morning
1486,U0321,Telegram,DM/Chat,Group chat,Communication,Productive,13.4,1,College,2025-07-18,Evening
1487,U0260,Udemy,Search,Technology news,News,Productive,28.7,1,Home,2025-08-15,Afternoon
1488,U0360,Twitter/X,Watch,Exam preparation,Education,Productive,9.5,1,Library,2025-12-25,Morning
1489,U0260,Amazon,DM/Chat,Team meeting,Communication,Productive,10.6,1,Cafe,2025-11-04,Night
1490,U0145,Zoom,Story,Comedy videos,Entertainment,Distractive,66.5,5,Home,2025-12-02,Evening
1491,U0041,WhatsApp,Course Page,Business news,Business,Productive,21.3,1,Home,2025-11-14,Night
1492,U0348,WhatsApp,Story,Live score,Sports,Distractive,53.3,4,Commute,2025-12-24,Late Night
1493,U0154,Amazon,Course Page,Family chat,Communication,Productive,22.1,2,Outdoors,2025-07-09,Night
1494,U0210,Twitter/X,DM/Chat,Sports news,Sports,Distractive,53.3,4,Home,2025-12-20,Evening
1495,U0073,TikTok,Course Page,Cricket update,Sports,Distractive,78.3,3,Outdoors,2025-08-20,Afternoon
1496,U0008,Facebook,Story,Fashion trends,Commerce,Distractive,34.9,2,Office,2025-07-24,Evening
1497,U0077,Facebook,Search,Discount coupons,Commerce,Distractive,20.3,2,Home,2025-07-20,Night
1498,U0117,Instagram,Course Page,Trending challenge,Entertainment,Distractive,35.9,4,Cafe,2025-10-09,Evening
1499,U0181,Udemy,Explore,Technology news,News,Productive,26.7,3,Office,2025-09-07,Morning
1500,U0252,Udemy,Watch,Group chat,Communication,Productive,9.3,2,Outdoors,2025-04-21,Night
1501,U0307,Amazon,Watch,History lecture,Education,Productive,41.4,1,Hostel,2025-11-10,Morning
1502,U0497,Amazon,Story,Market analysis,Business,Productive,48.6,2,Office,2025-07-09,Late Night
1503,U0466,Gmail,Story,Live score,Sports,Distractive,38.1,2,Library,2025-06-17,Afternoon
1504,U0498,Amazon,Story,DM chat casual,Social Media,Distractive,63.2,5,Office,2025-06-14,Late Night
1505,U0262,Coursera,DM/Chat,Local news,News,Productive,29.8,3,Outdoors,2025-01-10,Evening
1506,U0035,Amazon,Reels/Shorts,Work discussion,Communication,Productive,32.2,1,Outdoors,2025-11-05,Evening
1507,U0115,Zoom,Search,Cricket update,Sports,Distractive,33.4,2,Home,2025-08-31,Afternoon
1508,U0161,Udemy,Notification,Science experiment,Education,Productive,9.6,2,Cafe,2025-06-13,Night
1509,U0410,Twitter/X,Reels/Shorts,World news,News,Productive,18.4,3,Home,2025-04-10,Late Night
1510,U0013,Telegram,Feed,Prank videos,Entertainment,Distractive,27.5,5,Library,2025-03-15,Evening
1511,U0285,Flipkart,Course Page,Web development course,Education,Productive,46.8,1,Office,2025-08-17,Night
1512,U0362,Amazon,Reels/Shorts,Startup news,Business,Productive,56.3,2,Outdoors,2025-05-22,Afternoon
1513,U0283,Facebook,Story,Sports news,Sports,Distractive,86.1,2,College,2025-01-27,Evening
1514,U0203,Amazon,Explore,Sports news,Sports,Distractive,50,2,Hostel,2025-11-27,Evening
1515,U0371,Google Classroom,Story,Freelance work,Business,Productive,34.4,1,Home,2025-09-19,Morning
1516,U0387,WhatsApp,Search,Client proposal,Business,Productive,9.9,1,Office,2025-05-01,Morning
1517,U0280,WhatsApp,Explore,Follower count check,Social Media,Distractive,31.6,5,College,2025-09-10,Night
1518,U0082,TikTok,Search,Chemistry notes,Education,Productive,33.3,2,College,2025-04-17,Night
1519,U0246,Coursera,Feed,Client call,Communication,Productive,39,1,Home,2025-01-27,Afternoon
1520,U0166,Coursera,Search,Machine Learning,Education,Productive,57.3,1,Office,2025-09-14,Evening
1521,U0282,Instagram,Notification,Discount coupons,Commerce,Distractive,69.1,3,Outdoors,2025-01-13,Night
1522,U0360,YouTube,DM/Chat,Video call,Communication,Productive,14.5,1,Outdoors,2025-01-04,Evening
1523,U0469,Slack,Search,Family chat,Communication,Productive,24.4,2,Office,2025-10-02,Morning
1524,U0172,Slack,Explore,Music video,Entertainment,Distractive,15.2,5,Library,2025-11-08,Evening
1525,U0309,TikTok,Reels/Shorts,Political news,News,Productive,39.4,2,Outdoors,2025-01-15,Night
1526,U0389,LinkedIn,Feed,Online sale,Commerce,Distractive,35.5,2,College,2025-04-16,Afternoon
1527,U0112,Flipkart,Course Page,Comedy videos,Entertainment,Distractive,5.8,5,Library,2025-10-18,Evening
1528,U0369,Twitter/X,Search,History lecture,Education,Productive,51.8,1,Library,2025-09-13,Night
1529,U0040,Snapchat,Course Page,DM chat casual,Social Media,Distractive,43.7,5,Cafe,2025-12-08,Afternoon
1530,U0196,YouTube,Feed,Video call,Communication,Productive,56.9,1,Home,2025-06-05,Night
1531,U0144,Flipkart,DM/Chat,Business news,Business,Productive,39.1,1,Hostel,2025-07-10,Morning
1532,U0234,Google Classroom,Feed,Wishlist browsing,Commerce,Distractive,81,2,Cafe,2025-03-14,Evening
1533,U0234,Instagram,Course Page,Current affairs,News,Productive,11.3,3,College,2025-02-14,Afternoon
1534,U0204,Udemy,Reels/Shorts,Music video,Entertainment,Distractive,66.1,4,Office,2025-04-21,Morning
1535,U0296,Udemy,Explore,Shopping,Commerce,Distractive,74.9,2,Hostel,2025-03-31,Morning
1536,U0494,Google Classroom,Course Page,Exam preparation,Education,Productive,13,2,Cafe,2025-01-13,Evening
1537,U0287,Gmail,Feed,Breaking news,News,Productive,59.8,3,Home,2025-10-16,Night
1538,U0279,YouTube,Watch,Match highlights,Sports,Distractive,33.4,4,Commute,2025-08-22,Night
1539,U0298,Facebook,Story,Freelance work,Business,Productive,44.4,2,Commute,2025-07-28,Afternoon
1540,U0209,Flipkart,Watch,Product review,Commerce,Distractive,14.1,3,Outdoors,2025-12-12,Late Night
1541,U0231,Zoom,Search,Like notifications,Social Media,Distractive,30.6,4,Commute,2025-11-27,Night
1542,U0418,Slack,Search,Stock market,Business,Productive,36.3,2,Office,2025-10-21,Afternoon
1543,U0022,TikTok,Reels/Shorts,World news,News,Productive,49.6,3,College,2025-09-14,Late Night
1544,U0251,Zoom,Notification,Family chat,Communication,Productive,40.2,1,Office,2025-04-27,Evening
1545,U0180,TikTok,Notification,Voice message,Communication,Productive,39.8,2,Hostel,2025-04-23,Late Night
1546,U0410,Coursera,Course Page,Wishlist browsing,Commerce,Distractive,14.9,2,Library,2025-01-01,Late Night
1547,U0278,WhatsApp,Watch,Project update,Communication,Productive,15.3,1,Hostel,2025-06-05,Afternoon
1548,U0035,Instagram,Feed,Team meeting,Communication,Productive,18.5,1,Library,2025-04-06,Morning
1549,U0154,Telegram,Story,Funny compilation,Entertainment,Distractive,59.9,4,Home,2025-12-24,Late Night
1550,U0304,Twitter/X,Watch,Like notifications,Social Media,Distractive,39.1,5,Outdoors,2025-11-22,Late Night
1551,U0441,Udemy,Story,Physics lecture,Education,Productive,21.7,1,Cafe,2025-12-25,Night
1552,U0020,Telegram,Story,Discount coupons,Commerce,Distractive,85.5,2,Outdoors,2025-01-14,Night
1553,U0233,Zoom,Notification,Live score,Sports,Distractive,9.2,3,Library,2025-11-20,Morning
1554,U0111,Coursera,Course Page,Wishlist browsing,Commerce,Distractive,4.1,3,Cafe,2025-10-10,Night
1555,U0093,Facebook,Feed,Shopping,Commerce,Distractive,84.3,2,Outdoors,2025-02-05,Late Night
1556,U0061,TikTok,Notification,Sports news,Sports,Distractive,59.2,4,Home,2025-05-10,Late Night
1557,U0352,Google Classroom,Search,Match highlights,Sports,Distractive,4.5,3,Commute,2025-08-07,Morning
1558,U0396,Udemy,Course Page,Business news,Business,Productive,15.7,1,Hostel,2025-12-01,Afternoon
1559,U0414,Snapchat,DM/Chat,Shopping,Commerce,Distractive,31.3,3,Outdoors,2025-04-28,Night
1560,U0188,Facebook,Search,Group chat,Communication,Productive,44.7,1,Home,2025-08-13,Night
1561,U0360,LinkedIn,Explore,Shopping,Commerce,Distractive,43.2,3,Cafe,2025-08-12,Late Night
1562,U0260,WhatsApp,Watch,Shopping,Commerce,Distractive,79.1,2,Commute,2025-09-01,Night
1563,U0229,Instagram,Search,Breaking news,News,Productive,6.1,1,Office,2025-12-07,Afternoon
1564,U0119,WhatsApp,Search,Random scrolling,Social Media,Distractive,52.8,5,College,2025-10-14,Morning
1565,U0058,Facebook,Explore,Breaking news,News,Productive,1.7,2,Home,2025-09-19,Morning
1566,U0340,Facebook,Story,Gaming,Entertainment,Distractive,82.9,5,Outdoors,2025-04-20,Afternoon
1567,U0440,Twitter/X,Reels/Shorts,Cricket update,Sports,Distractive,16.3,3,College,2025-03-16,Afternoon
1568,U0430,Slack,Reels/Shorts,Business news,Business,Productive,34.4,2,Library,2025-11-17,Night
1569,U0015,Telegram,Feed,Trending hashtags,Social Media,Distractive,68,5,Home,2025-06-14,Night
1570,U0315,Flipkart,Explore,Local news,News,Productive,27.5,3,Library,2025-03-07,Night
1571,U0016,Coursera,Notification,Wishlist browsing,Commerce,Distractive,26.6,2,College,2025-08-10,Late Night
1572,U0333,Facebook,Feed,Shopping,Commerce,Distractive,33.9,2,Hostel,2025-05-24,Night
1573,U0356,Google Classroom,Course Page,Random scrolling,Social Media,Distractive,46.5,5,Hostel,2025-12-19,Late Night
1574,U0479,WhatsApp,Course Page,Client proposal,Business,Productive,58.5,2,College,2025-05-09,Evening
1575,U0099,Amazon,Story,Dance videos,Entertainment,Distractive,81.7,4,Library,2025-06-28,Evening
1576,U0411,Zoom,Explore,Like notifications,Social Media,Distractive,60.6,5,Library,2025-11-10,Afternoon
1577,U0327,Amazon,DM/Chat,Comedy videos,Entertainment,Distractive,72,5,Office,2025-03-02,Evening
1578,U0201,Amazon,Search,Breaking news,News,Productive,53.3,3,Outdoors,2025-07-11,Afternoon
1579,U0130,Gmail,Notification,Sports news,Sports,Distractive,31.4,4,Cafe,2025-11-07,Morning
1580,U0479,Instagram,Reels/Shorts,Work discussion,Communication,Productive,12.1,2,Cafe,2025-09-11,Night
1581,U0244,Zoom,Feed,Viral video,Entertainment,Distractive,88.4,4,Outdoors,2025-11-01,Morning
1582,U0434,LinkedIn,Search,Fashion trends,Commerce,Distractive,17.1,3,Commute,2025-01-28,Morning
1583,U0457,Zoom,Search,Client call,Communication,Productive,47.2,1,Hostel,2025-04-15,Morning
1584,U0317,Amazon,Watch,Python tutorial,Education,Productive,17.8,1,Library,2025-04-29,Afternoon
1585,U0413,Facebook,Feed,Gossip,Entertainment,Distractive,50.3,4,Commute,2025-04-23,Afternoon
1586,U0049,Snapchat,Reels/Shorts,Online sale,Commerce,Distractive,51.8,2,Cafe,2025-09-06,Morning
1587,U0144,Coursera,DM/Chat,World news,News,Productive,28.1,2,Office,2025-03-30,Afternoon
1588,U0119,Google Classroom,Explore,Video call,Communication,Productive,35.2,1,Hostel,2025-08-17,Afternoon
1589,U0012,Gmail,Course Page,Group chat,Communication,Productive,9.9,2,Hostel,2025-11-11,Night
1590,U0316,Telegram,Notification,Comedy videos,Entertainment,Distractive,31.5,5,Home,2025-09-13,Late Night
1591,U0087,Twitter/X,Story,Discount coupons,Commerce,Distractive,13.9,3,College,2025-11-04,Night
1592,U0195,Amazon,Story,Online sale,Commerce,Distractive,37.1,2,Library,2025-05-29,Afternoon
1593,U0177,Coursera,Reels/Shorts,Live score,Sports,Distractive,41.2,4,Home,2025-07-19,Late Night
1594,U0131,Udemy,Explore,Like notifications,Social Media,Distractive,65.5,4,Hostel,2025-02-15,Night
1595,U0331,Flipkart,Watch,Trending hashtags,Social Media,Distractive,43.6,5,Office,2025-04-23,Late Night
1596,U0048,TikTok,Story,World news,News,Productive,3.8,1,Library,2025-02-16,Afternoon
1597,U0143,Slack,Watch,Math tutorial,Education,Productive,27.7,1,Cafe,2025-03-14,Night
1598,U0027,Google Classroom,Search,Job search,Business,Productive,31.7,2,Library,2025-02-17,Late Night
1599,U0035,Telegram,Search,Resume building,Business,Productive,14.9,2,Library,2025-11-05,Morning
1600,U0274,LinkedIn,Course Page,Client call,Communication,Productive,33.7,1,Commute,2025-04-02,Afternoon
1601,U0459,Amazon,Search,Job search,Business,Productive,46.2,1,Home,2025-09-14,Late Night
1602,U0428,Snapchat,Feed,SQL tutorial,Education,Productive,28.7,1,Office,2025-05-04,Late Night
1603,U0328,Coursera,Course Page,Random scrolling,Social Media,Distractive,16.6,5,College,2025-05-08,Afternoon
1604,U0282,Facebook,Feed,Exam preparation,Education,Productive,17.9,2,Outdoors,2025-12-13,Night
1605,U0480,Slack,Story,Flash deals,Commerce,Distractive,71,3,Hostel,2025-05-09,Late Night
1606,U0310,Facebook,Feed,Online sale,Commerce,Distractive,19.4,3,Commute,2025-06-02,Morning
1607,U0111,Google Classroom,Story,Fashion trends,Commerce,Distractive,3.1,3,Outdoors,2025-04-12,Morning
1608,U0073,Gmail,Search,Discount coupons,Commerce,Distractive,58.8,2,Cafe,2025-07-22,Afternoon
1609,U0238,Zoom,Course Page,Language learning,Education,Productive,24.6,2,Outdoors,2025-07-10,Afternoon
1610,U0028,Coursera,Search,Project management,Business,Productive,53.9,1,College,2025-06-01,Evening
1611,U0245,Telegram,Reels/Shorts,DM chat casual,Social Media,Distractive,54.2,5,Commute,2025-09-20,Late Night
1612,U0075,Flipkart,Story,Physics lecture,Education,Productive,12.4,1,Office,2025-01-06,Morning
1613,U0207,Slack,DM/Chat,Celebrity,Entertainment,Distractive,57.1,4,Commute,2025-01-13,Night
1614,U0222,Amazon,Watch,DM chat casual,Social Media,Distractive,33.7,5,College,2025-08-13,Night
1615,U0074,Facebook,Explore,Competitive exam tips,Education,Productive,20.5,1,Outdoors,2025-11-22,Evening
1616,U0007,TikTok,Watch,Job search,Business,Productive,24.3,1,Home,2025-01-23,Evening
1617,U0291,Twitter/X,Explore,Job search,Business,Productive,48.2,2,Office,2025-08-07,Late Night
1618,U0113,WhatsApp,Search,Comedy videos,Entertainment,Distractive,77.4,4,Cafe,2025-09-05,Morning
1619,U0373,Udemy,Reels/Shorts,Match highlights,Sports,Distractive,8.1,4,Outdoors,2025-06-25,Late Night
1620,U0116,Amazon,Story,DM chat casual,Social Media,Distractive,47.9,5,Cafe,2025-11-01,Afternoon
1621,U0027,Zoom,Story,Web development course,Education,Productive,56.5,2,Cafe,2025-09-13,Night
1622,U0464,Facebook,Notification,Music video,Entertainment,Distractive,20.9,4,Library,2025-05-08,Night
1623,U0125,Telegram,Explore,Business news,Business,Productive,25.7,2,Commute,2025-06-03,Morning
1624,U0418,WhatsApp,Story,Startup news,Business,Productive,55.6,2,Home,2025-08-12,Night
1625,U0121,Udemy,Feed,Online sale,Commerce,Distractive,30.7,3,Commute,2025-03-02,Evening
1626,U0313,Twitter/X,Explore,Cricket update,Sports,Distractive,39.3,3,Library,2025-05-27,Afternoon
1627,U0408,Amazon,Explore,Freelance work,Business,Productive,51.3,1,College,2025-02-12,Morning
1628,U0242,Udemy,Reels/Shorts,Coding practice,Education,Productive,56.1,2,Office,2025-01-27,Morning
1629,U0045,Google Classroom,Story,Stock market,Business,Productive,41,1,Commute,2025-12-08,Late Night
1630,U0001,Amazon,Reels/Shorts,Online certification,Education,Productive,3.3,2,College,2025-01-21,Late Night
1631,U0037,TikTok,Course Page,World news,News,Productive,7.3,1,Cafe,2025-11-12,Late Night
1632,U0115,Gmail,Watch,Memes,Entertainment,Distractive,15,4,College,2025-09-12,Late Night
1633,U0157,Amazon,Search,Celebrity,Entertainment,Distractive,62.8,5,Outdoors,2025-07-03,Late Night
1634,U0077,Coursera,Watch,Web series clip,Entertainment,Distractive,60.3,5,Library,2025-05-04,Night
1635,U0371,YouTube,Reels/Shorts,Stock market,Business,Productive,9.7,1,Outdoors,2025-03-06,Afternoon
1636,U0477,Amazon,DM/Chat,Client call,Communication,Productive,43.4,2,Hostel,2025-07-29,Morning
1637,U0026,YouTube,Story,Comedy videos,Entertainment,Distractive,14.9,5,Library,2025-06-26,Morning
1638,U0231,Snapchat,Course Page,Math tutorial,Education,Productive,28.3,2,Hostel,2025-12-30,Evening
1639,U0048,Amazon,Search,Freelance work,Business,Productive,1.4,2,Office,2025-05-09,Night
1640,U0370,YouTube,Search,Sports news,Sports,Distractive,22.4,2,Outdoors,2025-05-23,Afternoon
1641,U0054,Instagram,Story,Project management,Business,Productive,43,1,Commute,2025-06-22,Morning
1642,U0456,Twitter/X,Search,Football clip,Sports,Distractive,30.6,2,Cafe,2025-09-29,Night
1643,U0023,YouTube,Course Page,Technology news,News,Productive,57.9,3,Cafe,2025-10-03,Night
1644,U0293,Telegram,Reels/Shorts,Trending challenge,Entertainment,Distractive,43.2,4,Hostel,2025-08-26,Late Night
1645,U0131,Coursera,Course Page,Political news,News,Productive,16.6,3,Home,2025-04-28,Late Night
1646,U0002,Slack,DM/Chat,Product review,Commerce,Distractive,4.6,2,Outdoors,2025-05-03,Night
1647,U0445,Zoom,Notification,Shopping,Commerce,Distractive,73.5,2,Hostel,2025-01-09,Late Night
1648,U0474,Twitter/X,Notification,Celebrity,Entertainment,Distractive,59.9,5,Cafe,2025-03-01,Afternoon
1649,U0041,Snapchat,Notification,Flash deals,Commerce,Distractive,59.4,3,Home,2025-12-17,Night
1650,U0344,Instagram,Reels/Shorts,Trending hashtags,Social Media,Distractive,12.6,5,Cafe,2025-03-28,Evening
1651,U0159,Telegram,DM/Chat,Viral video,Entertainment,Distractive,65.9,4,Commute,2025-02-19,Evening
1652,U0059,LinkedIn,Feed,Group chat,Communication,Productive,57.3,1,College,2025-05-19,Afternoon
1653,U0143,Slack,Notification,Sports news,Sports,Distractive,42.4,2,College,2025-09-04,Late Night
1654,U0372,Flipkart,Search,Voice message,Communication,Productive,23.9,1,Library,2025-10-07,Evening
1655,U0100,WhatsApp,Search,Excel tutorial,Education,Productive,9.6,1,Office,2025-09-25,Late Night
1656,U0398,Amazon,Explore,Sports news,Sports,Distractive,71.5,2,Hostel,2025-02-23,Late Night
1657,U0286,Twitter/X,Course Page,Online sale,Commerce,Distractive,69.8,2,College,2025-04-27,Night
1658,U0002,Flipkart,DM/Chat,Cricket update,Sports,Distractive,81.1,3,Home,2025-08-20,Afternoon
1659,U0044,Amazon,Explore,Endless scrolling,Social Media,Distractive,67.7,5,Home,2025-06-11,Night
1660,U0416,Facebook,Course Page,Business news,Business,Productive,30.2,1,Commute,2025-03-03,Late Night
1661,U0029,Google Classroom,Notification,Science experiment,Education,Productive,49.5,1,Cafe,2025-01-20,Morning
1662,U0187,TikTok,Search,Memes,Entertainment,Distractive,26,5,Hostel,2025-02-08,Late Night
1663,U0365,Google Classroom,Explore,Project update,Communication,Productive,2.3,2,Cafe,2025-06-17,Afternoon
1664,U0455,Flipkart,Reels/Shorts,Email,Communication,Productive,6.6,1,Cafe,2025-06-20,Evening
1665,U0468,WhatsApp,DM/Chat,Email,Communication,Productive,3.9,1,Cafe,2025-10-09,Late Night
1666,U0048,Google Classroom,Reels/Shorts,Conference call,Communication,Productive,53.8,2,Home,2025-06-09,Night
1667,U0022,Facebook,Reels/Shorts,Random scrolling,Social Media,Distractive,9.4,4,Home,2025-02-24,Night
1668,U0087,LinkedIn,Watch,Sports news,Sports,Distractive,15.1,3,Library,2025-02-11,Evening
1669,U0123,Instagram,Course Page,Investment tips,Business,Productive,13.9,1,Office,2025-03-28,Late Night
1670,U0314,Twitter/X,Course Page,Shopping,Commerce,Distractive,49.7,3,Home,2025-08-09,Afternoon
1671,U0138,Flipkart,Search,Online sale,Commerce,Distractive,37,3,Hostel,2025-10-24,Evening
1672,U0208,Telegram,Watch,Weather update,News,Productive,39.3,1,Outdoors,2025-01-01,Morning
1673,U0068,Facebook,Search,Local news,News,Productive,49.1,2,College,2025-12-10,Afternoon
1674,U0492,YouTube,Reels/Shorts,Language learning,Education,Productive,41.4,1,Office,2025-04-22,Evening
1675,U0175,Twitter/X,Reels/Shorts,Family chat,Communication,Productive,50,1,Home,2025-07-31,Morning
1676,U0338,Facebook,Reels/Shorts,Technology news,News,Productive,52.3,1,Commute,2025-07-30,Night
1677,U0251,Facebook,DM/Chat,Funny compilation,Entertainment,Distractive,35.6,4,Library,2025-12-07,Afternoon
1678,U0401,YouTube,Watch,Sports news,Sports,Distractive,1.3,3,Outdoors,2025-03-23,Morning
1679,U0144,Twitter/X,Explore,AI fundamentals,Education,Productive,7.5,2,Cafe,2025-03-14,Evening
1680,U0330,Udemy,Notification,Project management,Business,Productive,4.9,1,Outdoors,2025-06-28,Evening
1681,U0113,Zoom,Course Page,Technology news,News,Productive,57.8,1,Cafe,2025-03-24,Night
1682,U0370,Coursera,Course Page,Match highlights,Sports,Distractive,35.2,2,Office,2025-02-26,Evening
1683,U0291,Zoom,Notification,Random scrolling,Social Media,Distractive,72.2,4,Hostel,2025-01-11,Morning
1684,U0271,Zoom,DM/Chat,Team meeting,Communication,Productive,45.7,2,Office,2025-11-18,Night
1685,U0100,Amazon,Notification,Coding practice,Education,Productive,25.8,1,Commute,2025-01-01,Night
1686,U0322,Telegram,Watch,Business news,Business,Productive,42.1,2,Cafe,2025-10-28,Afternoon
1687,U0024,LinkedIn,Explore,Wishlist browsing,Commerce,Distractive,43,3,Library,2025-05-06,Evening
1688,U0009,Coursera,Notification,Follower count check,Social Media,Distractive,30.7,5,Library,2025-08-09,Late Night
1689,U0274,Coursera,Explore,Group chat,Communication,Productive,52.1,1,Library,2025-08-28,Night
1690,U0019,Facebook,DM/Chat,Group chat,Communication,Productive,44.5,2,Library,2025-07-09,Morning
1691,U0175,LinkedIn,Watch,Gaming,Entertainment,Distractive,58.2,5,Outdoors,2025-04-18,Morning
1692,U0353,WhatsApp,Watch,Weather update,News,Productive,47.7,1,Library,2025-01-23,Night
